Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Special Pizza,Paneer Chilli Pizza [7 inches],1,0,Our chef's special pizza base and pizza sauce then pure mozzarella cheese on ... read more,216.0
Special Pizza,Chaat Paneer Pizza [7 inches],1,0,Our chef's special pizza base and pizza sauce first then pure mozzarella cheese ... read more,208.0
Special Pizza,Veggie Trend Pizza [7 inches],1,0,"Our Chef's Special Pizza Base And Pizza Sauce, Mozzarella Cheese On The Sauce ... read more",151.2
Upwas Specials,Garma Garam Farali Sabudana Khichdi,1,0,Delicious combination of spices and tapioca pearl/sago [sabudana] use fresh potato and pure ... read more,63.2
Upwas Specials,"Farali Sabudana Vada [4 Pieces, Serves 1]",1,0,Fry in pure and fresh oil it made a delicious combination of spices ... read more,63.2
Upwas Specials,Sudh Ghee Ni Farali Sabudana Khichdi,1,0,Prepare in sudh ghee. 0% Oil 100% ghee.,120.0
Upwas Specials,Falahari Chivda [100 grams],1,0,"A delectable blend of traditional and contemporary, this delectable snack is a delightful ... read more",36.0
Pizza,Cheese & Sweet Corn Pizza,1,0,Sweet & juicy golden corn with our in house sauce.,135.2
Pizza,Tandoori Paneer Pizza,1,0,"Spiced paneer, onion, green capsicum & tandoori sauce.",151.2
Pizza,Garden Delight Pizza,1,0,"A classic veg pizza that combines the zing and freshness of onion, tomatoes ... read more",135.2
Pizza,Double Cheese Margherita Pizza,1,0,Loaded with extra cheese.,176.0
Pizza,Veggie Delight Pizza,1,0,"Our signature pizza crust loaded with classic Mozzarella cheese, jalapeno, red paprika and ... read more",151.2
Pizza,"Paneer Tikka Pizza [Regular, 7 inches]",1,0,"Our signature pizza crust loaded with classic Mozzarella cheese, paneer tikka, olives and ... read more",151.2
Pizza,"Deluxe Veggie Pizza [Regular, 7 inches]",1,0,"Our signature pizza crust loaded with classic Mozzarella cheese, onion and green bell ... read more",151.2
Pizza,Veg Cheese Pizza [7 inches],1,0,"Onion, tomato, capsicum & cheese.",135.2
Pizza,Italian Pizza [7 inches],1,0,"Onion, capsicum, black olives and jalapeno.",135.2
Pizza,Supreme Veg Pizza [7 inches],1,0,"Capsicum, tomato, onion and black olives.",135.2
Bombay Style Grilled Sandwiches,"Grilled Cheese Sandwich [Jumbo, Serves 2]",1,0,"A chef's special sandwich onion, capsicum, tomato, cabbage, black olives and aloo tikki ... read more",159.2
Bombay Style Grilled Sandwiches,Special Double Cheese Grilled Sandwich,1,0,"A decadent sandwich filled with two types of cheese and grilled to perfection, ... read more",192.0
Snacks,Cheese Garlic Bread,1,0,"A delectable combination of garlic and cheese on toasted bread, a snack that ... read more",144.0
Breakfast,Bread Butter [2 Layer],1,0,"A delicious and creamy 2-layer bread slice, perfect for any meal. Made with ... read more",32.0
Breakfast,Bread Butter Jam,1,0,A delicious toast spread with a buttery and jammy twist. Perfect for a ... read more,32.0
Breakfast,Bread Butter Jam Toast,1,0,A delightful combination of crunchy toasted bread and delicious butter jam that is ... read more,40.0
Breakfast,Bread Butter Toast,1,0,"A scrumptious slice of bread, smeared with butter and toasted to perfection, this ... read more",48.0
Breakfast,Masala French Fries,1,0,Crispy French fries tossed in a flavorful spice blend. A delicious and satisfying ... read more,63.2
Breakfast,Bread Butter with Adrak Pudina Chai,1,0,"Enjoy a hot, aromatic cup of tea with a slice of buttery bread ... read more",63.2
Breakfast,Chutney Sandwich,1,0,"A delicious and flavorful sandwich with chutney, cheese.A classic combination that is sure ... read more",56.0
Breakfast,Pure Amul Cheese Sandwich,1,0,"A delectable sandwich made with the goodness of pure Amul cheese, fresh vegetables ... read more",104.0
