Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Coffee,Cafe Latte,1,0,"Cafe Latte, a velvety symphony of espresso and steamed milk, offers a creamy ... read more",184.0
Coffee,Cappuccino,1,0,"A classic Italian delight, cappuccino boasts a harmonious blend of rich espresso, creamy ... read more",184.0
Coffee,Cold Brew Tonic,1,0,"Elevate your refreshment with Cold Brew Tonic, a harmonious blend of smooth, bold ... read more",240.0
Coffee,Cold Brew,1,0,"A smooth and refreshing coffee delight, crafted by steeping coarse coffee grounds in ... read more",192.0
Coffee,Espresso Coffee,1,0,"Bold and intense, espresso coffee tantalizes the palate with its robust flavor and ... read more",128.0
Coffee,Espresso Tonic,1,0,"Experience the invigorating fusion of intense espresso and crisp tonic water, resulting in ... read more",248.0
Coffee,Flat White,1,0,"Crafted with expert precision, the Flat White is a velvety-smooth fusion of espresso ... read more",192.0
Coffee,Hot Americano,1,0,"A bold and straightforward brew, Americano combines rich espresso with hot water, offering ... read more",160.0
Coffee,Hot Cafe Mocha,1,0,"Experience the irresistible fusion of smooth espresso, decadent chocolate, and creamy steamed milk, ... read more",208.0
Coffee,Hot V60 Pour Over,1,0,"Experience the artistry of V60 Pour Over, where hot / cold water delicately ... read more",208.0
Coffee,Iced Americano,1,0,"A bold and straightforward brew, Americano combines rich espresso with hot water, offering ... read more",160.0
Coffee,Iced Cafe Mocha,1,0,"Experience the irresistible fusion of smooth espresso, decadent chocolate, and creamy steamed milk, ... read more",208.0
Coffee,Iced V60 Pour Over,1,0,"Experience the artistry of V60 Pour Over, where hot / cold water delicately ... read more",208.0
Doughnuts,Attachments Box (Box Of 6),1,0,"Indulge in a delightful assortment with the Attachments Box, featuring six handcrafted doughnuts ... read more",864.0
Doughnuts,Biscoff Doughnut,1,0,Indulge in the delightful fusion of fluffy doughnut perfection infused with the irresistible ... read more,152.0
Doughnuts,Brownie Doughnut,1,0,"Indulge in the perfect fusion of fudgy brownie and fluffy doughnut, delivering a ... read more",144.0
Doughnuts,Cheesecake Doughnut,1,0,"A decadent fusion of creamy cheesecake filling nestled within a fluffy doughnut shell, ... read more",160.0
Doughnuts,Cinnamon Sugar Doughnut,1,0,Indulge in the sweet embrace of a Cinnamon Sugar Doughnut: a delectable fried ... read more,128.0
Doughnuts,Dark Chocolate Doughnut,1,0,Indulge in decadence with our Dark Chocolate Doughnut: a rich cocoa-infused doughnut with ... read more,144.0
Doughnuts,Double Chocolate Doughnut,1,0,"Indulge in decadence with our Double Chocolate Doughnut, a heavenly treat featuring rich ... read more",152.0
Doughnuts,French Biscuit Doughnut,1,0,A French Biscuit Doughnut is a delightful fusion of crispy biscuit texture and ... read more,160.0
