Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Starters,Chicken Leg Piece,0,0,Irresistibly juicy and crispy chicken leg piece fried to perfection; served with a ... read more,150.0
Starters,Chicken Manchurian [1 Plate],0,0,"A Chinese dish that is filled with soft and juicy chicken, dipped in ... read more",250.0
Starters,Chicken Dana,0,0,Our mouthwatering Chicken Dana is a delectable dish that is sure to satiate ... read more,260.0
Starters,Boneless Chicken Chilli [1 Plate],0,0,"Tender, juicy boneless chicken cooked in a spicy red chilli sauce. A flavorful ... read more",260.0
Starters,Chicken Malai Kebab,0,0,A juicy boneless chicken pieces made of some ground spices and loaded with ... read more,260.0
Starters,Chicken 65,0,0,Succulent chicken chunks dipped in a seasoned batter and fried to golden perfection ... read more,260.0
Starters,Tandoori Chicken,0,0,Tender pieces of chicken marinated in a mouthwatering blend of spices and cooked ... read more,270.0
Starters,Chicken Tikka,0,0,Super soft chunks of chicken are coated with a spicy and peppery masala ... read more,270.0
Starters,Boneless Fish Fry [3 Pieces],0,0,"Crispy and tender fish pieces, coated with a flavorful batter, that is perfect ... read more",270.0
Starters,Fish Fry [3 Pieces],0,0,Crisp and juicy deep fried fish fillets served with a side of tangy ... read more,270.0
Starters,Chicken Kurkure,0,0,"Crispy fried chicken strips paired with a savory, crunchy seasoning for an indulgent ... read more",280.0
Starters,Chicken Kurkure [10 Pieces],0,0,Crispy and savory chicken bites with a spicy kick. Perfect for a quick ... read more,280.0
Starters,Chicken Banjara Kebab,0,0,"Tender chicken marinated in an aromatic spice blend and grilled to perfection, this ... read more",290.0
Starters,Chicken Malai Tikka [8 Pieces],0,0,Juicy and flavorful chicken pieces marinated in a creamy and aromatic malai sauce.,290.0
Starters,Chicken Special Golden Tikka [8 Pieces],0,0,Tender pieces of chicken marinated in a special blend of spices and cooked ... read more,290.0
Starters,Fish Kurkure [8 Pieces],0,0,"A delectable fish snack, these crispy fried fish strips are a tasty and ... read more",290.0
Starters,Chicken Lollipop [8 Pieces],0,0,"A sweet, juicy and mouth watering treat, these tender chicken lollipop are bursting ... read more",300.0
Starters,Prawns Chilli,0,0,A spicy dish made with prawns and chilli that is a perfect addition ... read more,330.0
Starters,Prawns Kurkure [8 Pieces],0,0,"A crispy prawns snack made with prawns and seasoned with spices, coated in ... read more",300.0
Starters,Mutton Chilli,0,0,"A spicy, tangy dish made with tender mutton meat cooked with a mixed ... read more",350.0
Starters,Veg Manchurian,1,0,A spicy and tangy bite sized appetizer made of deep fried cauliflower florets ... read more,180.0
Starters,Paneer Tikka Dry [8 Pieces],1,0,"Crisp and juicy pieces of paneer served with a generous portion of tomato, ... read more",200.0
Starters,Paneer Shahi Tikka Dry [8 Pieces],1,0,A delectable and juicy paneer dish with a rich and creamy flavor.,200.0
Starters,Paneer Chilli,1,0,A spicy Indo Chinese starter made by tossing fried paneer in sweet sour ... read more,260.0
Main Course,Chicken Masala,0,0,Succulent pieces of bone chicken cooked in aromatic and flavorful spiced desi style ... read more,250.0
Main Course,Chicken Curry,0,0,"Chicken curry, cooked in a rich, fragrant and aromatic gravy.",250.0
Main Course,Bhuna Chicken,0,0,"A delectable chicken curry, cooked with aromatic spices and herbs for a flavorful ... read more",250.0
Main Course,Chicken Bhuna Masala,0,0,"Tender chicken cooked with aromatic spices and fresh tomato gravy, creating a flavorful ... read more",260.0
Main Course,Chicken Handi,0,0,A delightfully flavor-packed creamy chicken handi.,260.0
Main Course,Boneless Chicken Kadai,0,0,"Tender boneless chicken pieces cooked in a spicy, flavorful curry with a rich ... read more",280.0
Main Course,Boneless Chicken Shahenaz,0,0,"Tender boneless chicken marinated in a rich blend of yogurt and spices, cooked ... read more",280.0
Main Course,Chicken Kadai,0,0,,280.0
Main Course,Chicken Rogan Josh,0,0,Tender chicken pieces cooked in a rich and aromatic Rogan Josha sauce.,290.0
Main Course,Chicken Tikka Masala,0,0,A rich and creamy dish with succulent pieces of chicken simmered in a ... read more,290.0
Main Course,Boneless Chicken Baghdadi,0,0,,300.0
Main Course,Boneless Fish Masala [2 Pieces],0,0,"Boneless pieces of fish cooked in a creamy, spicy and aromatic sauce. This ... read more",300.0
Main Course,Boneless Butter Chicken,0,0,Boneless Butter chicken a rich and creamy dish with succulent pieces of boneless ... read more,300.0
Main Course,Bhuna Chicken Gravy,0,0,Tender pieces of chicken cooked in a traditional Indian gravy made with aromatic ... read more,300.0
Main Course,Special Chicken Sher E Punjab,0,0,"A unique dish that is bursting with flavor, this dish is prepared with ... read more",300.0
Main Course,Dhaniya Murgh,0,0,"A creamy and flavorful chicken curry with fresh green coriander leaves and cashews, ... read more",310.0
Main Course,Chicken Hot Pot,0,0,,310.0
Main Course,Chicken Romania,0,0,"A delicious chicken dish with a rich, creamy sauce and a hint of ... read more",310.0
